identifier,score,category,Domain Analysis For,Google PageRank,cPR Score,Domain Authority,Page Authority,Trust Flow,Trust Metric,Global Rank,Alexa USA Rank,Alexa Reach Rank,Spam Score,External Backlinks,Referring Domains,EDU Backlinks,EDU Domains,GOV Backlinks,GOV Domains,PR Quality,Canonical URL,Topic,Topic Value,Indexed URLs,Citation Flow
aljazeera.com,82.5,Left Center,aljazeera.com,8,8.4,91,64,73,73,,,,1,34664363,110242,37201,1228,5618,136,Very Strong,aljazeera.com/,News,71,596164,81
adn.com,92.5,Left Center,adn.com,7,7.3,81,55,65,65,35067,6138,31003,2,2909678,28575,3241,245,673,59,Very Strong,adn.com/,News/Newspapers,64,758218,65
timesunion.com,100,Left Center,timesunion.com,7,7.5,81,58,61,61,30782,5718,28091,1,2828040,38010,9688,385,5778,57,Very Strong,timesunion.com/,News/Newspapers,60,1111963,62
ohio.com,87.5,Left Center,ohio.com,7,7.2,77,56,57,57,98556,19062,86594,1,1387199,19862,3618,201,34352,40,Very Strong,ohio.com/,News/Newspapers,56,335713,49
amny.com,92.5,Left Center,amny.com,6,6.8,75,51,44,44,57228,10599,44818,1,1725230,14744,6912,101,339,13,Very Strong,amny.com/,News/Newspapers,43,190702,51
americamagazine.org,80,Left Center,americamagazine.org,6,6.8,72,54,54,54,,4814,18173,1,796371,13137,4227,272,3195,10,Very Strong,americamagazine.org/,Society/Religion and Spirituality,54,98287,52
aclu.org,80,Left Center,aclu.org,7,8,85,63,76,76,23975,3776,20174,1,12871720,61872,20627,1092,830,127,Very Strong,aclu.org/,Society/Law,75,655441,68
annistonstar.com,100,Left Center,annistonstar.com,6,6,64,47,50,50,297909,65381,273827,1,170932,5575,1990,82,96,14,Very Strong,annistonstar.com/,News/Newspapers,50,82712,43
aol.com,90,Left Center,aol.com,9,9.2,94,76,85,85,336,88,349,1,92590565,346375,129641,2410,9161,347,Very Strong,aol.com/,Computers/Internet/On the Web,75,87610981,73
tucson.com,92.5,Left Center,tucson.com,7,7.2,78,56,48,48,39193,7802,34872,1,3655772,26942,8026,288,2304,55,Very Strong,tucson.com/,News/Newspapers,47,1017474,52
azdailysun.com,100,Left Center,azdailysun.com,6,6.6,70,53,43,43,144789,32210,127865,1,707480,9636,1595,151,565,38,Very Strong,azdailysun.com/,News/Newspapers,43,94379,41
arktimes.com,80,Left Center,arktimes.com,6,6.4,69,50,48,48,125792,26029,112758,1,1028957,9350,740,68,45,10,Very Strong,arktimes.com/,News/Newspapers,47,1308025,49
citizen-times.com,92.5,Left Center,citizen-times.com,6,6.8,73,52,56,56,69316,12144,61872,0,665250,14985,2645,141,3256,41,Very Strong,citizen-times.com/,News/Newspapers,55,1107378,60
atlantablackstar.com,82.5,Left Center,atlantablackstar.com,7,7.1,77,55,23,23,46957,10823,41761,1,337016,11442,527,138,61,6,Very Strong,atlantablackstar.com/,Sports/Track and Field,19,831702,51
ajc.com,100,Left Center,ajc.com,8,8.1,89,61,69,69,5805,1205,4771,1,14364031,75467,17381,551,2993,105,Very Strong,ajc.com/,News/Newspapers,68,1134918,68
theatlantic.com,92.5,Left Center,theatlantic.com,8,8.6,92,68,79,79,1914,528,1360,1,44693162,265964,223245,2187,5520,244,Very Strong,theatlantic.com/,News/Magazines and E-zines,76,864992,87
statesman.com,100,Left Center,statesman.com,7,7.7,85,57,62,62,28751,4468,24515,1,4063733,34175,6341,285,888,53,Very Strong,statesman.com/,News/Newspapers,61,589396,54
axios.com,87.5,Left Center,axios.com,7,7.3,82,54,51,51,4664,946,3844,1,4516777,39062,4247,229,558,38,Very Strong,axios.com/,Business/Marketing and Advertising,41,104038,70
baltimoresun.com,100,Left Center,baltimoresun.com,8,8.1,89,61,70,70,16289,2695,13206,1,18292110,75242,37680,648,6430,118,Very Strong,baltimoresun.com/,News/Newspapers,69,3026900,61
bangordailynews.com,100,Left Center,bangordailynews.com,7,7.5,80,59,55,55,38832,7434,34801,1,2145690,27146,11370,246,996,58,Very Strong,bangordailynews.com/,News/Newspapers,53,1284654,60
battlecreekenquirer.com,100,Left Center,battlecreekenquirer.com,6,6,66,46,26,26,394074,105492,338276,1,202508,5444,1521,68,332,10,Very Strong,battlecreekenquirer.com/,Recreation/Food,24,1743427,48
bbc.com,95,Left Center,bbc.com,8,9,95,72,84,84,92,75,81,1,101360273,416498,867751,3289,48452,841,Very Strong,bbc.com/,Arts/Television,69,6438211,87
berkeleyside.com,92.5,Left Center,berkeleyside.com,6,6.5,,,,,86575,18338,75778,0,,,,,,,,berkeleyside.com/,,,,
berkshireeagle.com,100,Left Center,berkshireeagle.com,6,6.2,66,49,53,53,164600,38229,137676,1,599620,9907,1337,131,395,15,Very Strong,berkshireeagle.com/,News/Newspapers,52,445239,53
bloomberg.com,95,Left Center,bloomberg.com,8,9,95,72,84,84,563,213,461,1,104253544,413246,145399,2666,47283,628,Very Strong,bloomberg.com/,Business/News and Media,82,6457796,91
bostonglobe.com,100,Left Center,bostonglobe.com,8,8.3,89,65,63,63,5394,1053,4624,1,21084085,119790,61443,999,3550,176,Very Strong,bostonglobe.com/,News/Newspapers,56,895371,72
bgr.com,100,Left Center,bgr.com,8,8.3,91,63,38,38,4278,1121,3272,0,8002629,44436,1901,214,46,20,Very Strong,bgr.com/,Society/People,30,272943,58
brookings.edu,87.5,Left Center,brookings.edu,7,7.9,89,58,71,71,,,,1,11986969,73059,76987,1351,4999,284,Very Strong,brookings.edu/,Society/Politics,71,764918,66
buffalonews.com,92.5,Left Center,buffalonews.com,7,7.3,78,58,37,37,26811,5050,24603,0,3698719,34881,21246,325,2561,42,Very Strong,buffalonews.com/,News/Newspapers,34,412527,47
businessinsider.com,100,Left Center,businessinsider.com,8,8.9,93,71,57,57,401,121,352,1,85972753,382866,73347,2066,5680,270,Very Strong,businessinsider.com/,Business/Hospitality,37,7409204,86
bustle.com,92.5,Left Center,bustle.com,8,8.2,91,60,44,44,1529,564,1070,1,7031983,71185,6833,498,108,30,Very Strong,bustle.com/,Society/Activism,38,460552,68
capitalgazette.com,100,Left Center,capitalgazette.com,6,6.4,69,49,50,50,148038,28097,126852,1,1390631,13377,8355,111,915,25,Very Strong,capitalgazette.com/,News/Newspapers,50,955721,46
cbc.ca,100,Left Center,cbc.ca,8,8.7,93,69,84,84,1094,,882,2,67447553,217496,23910,1182,11716,174,Very Strong,cbc.ca/,Arts/Television,77,2484892,81
cbsnews.com,95,Left Center,cbsnews.com,8,8.8,94,69,71,71,1097,268,843,1,50643121,258751,75213,1995,7567,306,Very Strong,cbsnews.com/,News,60,3066697,88
wvgazettemail.com,92.5,Left Center,wvgazettemail.com,6,6.8,75,50,27,27,108740,24441,94971,1,855074,11091,1061,132,3746,22,Very Strong,wvgazettemail.com/,Recreation/Travel,24,88453,49
charlotteobserver.com,100,Left Center,charlotteobserver.com,7,7.6,85,56,63,63,25342,5331,20221,1,3599705,45225,10375,375,4275,70,Very Strong,charlotteobserver.com/,News/Newspapers,61,1131534,67
chicago.suntimes.com,92.5,Left Center,chicago.suntimes.com,8,8.3,89,64,40,40,15777,2996,12353,0,2757550,31401,4879,212,1237,32,Very Strong,chicago.suntimes.com/,Society/Philanthropy,32,106703,58
cnbc.com,87.5,Left Center,cnbc.com,8,8.7,93,69,69,69,523,138,419,1,56602169,264227,54572,1517,4802,279,Very Strong,cnbc.com/,Home/Personal Finance,61,2201243,92
cjr.org,100,Left Center,cjr.org,7,7,75,55,64,64,55791,11780,44220,0,2512294,25620,8180,557,121,20,Very Strong,cjr.org/,News/Media Industry,64,104590,59
commonwealthfund.org,87.5,Left Center,commonwealthfund.org,6,6.6,73,49,65,65,132803,28309,114860,1,1098913,14561,255278,368,2534,101,Very Strong,commonwealthfund.org/,Society/Issues,61,199897,54
crosscut.com,100,Left Center,crosscut.com,6,6.4,66,53,33,33,172939,31983,144451,1,417578,7405,3047,81,1333,18,Very Strong,crosscut.com/,Society/Issues,26,102468,51
ctvnews.ca,100,Left Center,ctvnews.ca,7,8,90,59,65,65,3961,,3261,1,8678774,78610,4494,337,6479,44,Very Strong,ctvnews.ca/,News,58,1446005,72
deadline.com,87.5,Left Center,deadline.com,8,8.4,90,66,44,44,2787,654,2226,0,15452826,72472,4738,315,73,19,Very Strong,deadline.com/,Arts/Movies,35,1228344,63
delawareonline.com,100,Left Center,delawareonline.com,7,7.1,77,54,59,59,46502,8400,43820,2,2979383,22838,7218,193,1229,46,Very Strong,delawareonline.com/,News/Newspapers,59,1293350,64
democratandchronicle.com,100,Left Center,democratandchronicle.com,7,7.1,78,54,57,57,33021,5852,28217,1,2225268,24456,7183,240,514,32,Very Strong,democratandchronicle.com/,News/Newspapers,55,1110929,65
denverpost.com,100,Left Center,denverpost.com,8,8.2,90,62,71,71,,459,2438,1,18247795,88340,13079,610,4780,122,Very Strong,denverpost.com/,News/Newspapers,69,3053169,73
freep.com,100,Left Center,freep.com,7,8,88,61,66,66,7459,1266,6657,1,7819998,68449,18677,564,1148,75,Very Strong,freep.com/,News/Newspapers,66,1409318,68
digg.com,70,Left Center,digg.com,9,9.3,92,81,78,78,2698,890,2561,1,1171802123,359874,19638234,2524,2650148,522,Very Strong,digg.com/,Society/Subcultures,76,592100012,73
diversityinc.com,70,Left Center,diversityinc.com,6,6.3,66,51,59,59,,15410,57666,1,301820,6093,1340,319,73,30,Very Strong,diversityinc.com/,Society/Work,59,528011,46
earthjustice.org,87.5,Left Center,earthjustice.org,6,6.9,70,58,59,59,163557,33357,146241,1,1047521,11028,1074,216,56,24,Very Strong,earthjustice.org/,Society/Issues,59,2471919,49
eastbaytimes.com,100,Left Center,eastbaytimes.com,6,6.9,79,49,62,62,52303,9300,44809,1,3248833,32802,6369,280,4364,49,Very Strong,eastbaytimes.com/,News/Newspapers,59,2057999,69
elpasotimes.com,100,Left Center,elpasotimes.com,6,6.7,73,51,56,56,119454,32583,104244,0,3600016,13007,1328,142,1113,26,Very Strong,elpasotimes.com/,News/Newspapers,56,746429,56
engadget.com,100,Left Center,engadget.com,8,8.9,94,71,76,76,657,382,566,1,61192919,197006,33356,960,417,88,Very Strong,engadget.com/,Home/Consumer Information,71,3194089,86
fastcompany.com,87.5,Left Center,fastcompany.com,8,8.5,93,65,64,64,2754,851,2064,1,15845517,174745,33835,1285,3034,146,Very Strong,fastcompany.com/,Business/E-Commerce,54,703802,69
fivethirtyeight.com,100,Left Center,fivethirtyeight.com,8,8.2,84,67,57,57,2006,403,1821,1,8555251,53891,16864,626,244,51,Very Strong,fivethirtyeight.com/,News,45,3893046,69
fresnobee.com,100,Left Center,fresnobee.com,7,7,77,53,60,60,66493,11970,56681,1,2505258,21701,4306,217,4387,31,Very Strong,fresnobee.com/,News/Newspapers,58,874990,60
greensboro.com,100,Left Center,greensboro.com,6,6.4,71,47,29,29,82578,15169,70024,1,505131,8875,3573,125,747,20,Very Strong,greensboro.com/,News/Media Industry,25,1479906,36
glamour.com,95,Left Center,glamour.com,8,8.2,90,62,67,67,11412,3516,8705,1,5115127,49351,2277,315,61,26,Very Strong,glamour.com/,Society/People,66,932702,66
globalcitizen.org,82.5,Left Center,globalcitizen.org,6,6.9,76,51,42,42,37844,10321,31463,1,214820,12433,634,144,22,13,Very Strong,globalcitizen.org/,Arts/Music,41,169702,53
pri.org,100,Left Center,pri.org,7,7.6,,,,,31572,9061,23878,1,,,,,,,,pri.org/,,,,
governing.com,100,Left Center,governing.com,6,6.9,74,53,58,58,60061,10639,47404,3,669011,20404,3649,392,1094,154,Very Strong,governing.com/,News/Analysis and Opinion,57,804484,59
